Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Surface Area (m^2) by color category: 0,Surface Area (m^2) by color category: 1,Surface Area (m^2) by color category: 2,Surface Area (m^2) by color category: 3,Surface Area (m^2) by color category: 4,Surface Area (m^2) by color category: 5,Surface Area (m^2) by color category: 6,Surface Area (m^2) by color category: 7,Surface Area (m^2) by color category: 8,Surface Area (m^2) by color category: 9,Surface Area (m^2) by color category: 10,Surface Area (m^2) by color category: 11,Surface Area (m^2) by color category: 12,Surface Area (m^2) by color category: 13,Surface Area (m^2) by color category: 14,Surface Area (m^2) by color category: 15,Surface Area (m^2) by color category: 16,Surface Area (m^2) by color category: 17,Surface Area (m^2) by color category: 18,Surface Area (m^2) by color category: 19,Surface Area (m^2) by color category: 20,Surface Area (m^2) by color category: 21,Surface Area (m^2) by color category: 22,Surface Area (m^2) by color category: 23,Surface Area (m^2) by color category: 24,Surface Area (m^2) by color category: 25,Surface Area (m^2) by color category: 26,Surface Area (m^2) by color category: 27,Surface Area (m^2) by color category: 28,Surface Area (m^2) by color category: 29,Surface Area (m^2) by color category: 30,Surface Area (m^2) by color category: 31,Surface Area (m^2) by color category: 32,Surface Area (m^2) by color category: 33,Surface Area (m^2) by color category: 34,Surface Area (m^2) by color category: 35,Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
915A,915A,Mesh,32.31227748,5.527992452,7.29E-05,1.20E-05,0,0.000251221,5.36E-05,2.18E-06,5.54E-06,0.000223068,4.35E-07,0,8.55E-05,0,0,7.10E-08,0,3.39E-05,0.000962477,5.78E-05,0,0.000373509,3.24E-06,4.70E-06,5.03E-05,1.17E-05,0.000229893,0.000309644,0.000239138,1.41E-06,7.45E-05,0,0.000170498,0,9.98E-07,1.11E-06,0,0,4.131376879,0.298578893,3.832797987,8.830846383,29.00181554
915B,915B,Mesh,30.96945591,4.637199305,8.71E-05,1.18E-06,0,0.000119163,0.000109784,0.00015813,1.28E-07,5.76E-05,1.09E-07,0,4.91E-05,0,0,0,0,7.83E-06,0.001363358,4.63E-07,0,0.000187529,3.01E-05,1.73E-05,4.58E-06,2.94E-05,9.38E-05,0.000277026,9.50E-05,0,0.000199623,8.29E-07,5.85E-05,0,9.01E-05,5.91E-05,0,0,4.744183792,0.313069736,4.431114056,10.93749212,27.38692209
915C,915C,Mesh,35.60489076,5.558117055,4.36E-05,6.75E-07,0,0.000160112,0.000427792,0.000403776,5.46E-06,7.38E-05,3.43E-08,0,3.14E-05,0,0,0,0,5.69E-05,0.000457044,9.79E-06,0,0.000262232,1.66E-05,6.47E-06,6.56E-05,0.000113009,0.000215012,0.000407767,4.56E-05,2.19E-07,9.80E-05,1.88E-05,0.000430116,0,0.000123301,8.75E-05,0,0,4.180493332,0.266219474,3.914273858,10.31087531,32.10625817
916A,916A,Mesh,33.37930779,5.72607798,3.71E-05,0,0,0.000159666,0.000270182,6.64E-07,1.14E-05,0.000251194,1.28E-07,0,9.72E-06,0,0,1.73E-07,0,0.000143295,0.000423041,1.40E-05,0,0.000206,3.17E-05,8.88E-06,7.74E-05,0.000168575,0.00039505,0.0005261,0.000109776,0,0.00024547,1.16E-05,0.000168663,0,6.73E-05,9.62E-07,0,0,4.105881421,0.303018105,3.802863316,9.472677365,28.86510828
916B,916B,Mesh,30.05254305,4.694359568,0.000124864,1.28E-06,0,0.0002091,7.92E-05,2.01E-05,2.52E-05,3.86E-05,5.86E-06,0,5.70E-05,0,0,0,0,0.000145573,0.000559426,0,0,0.000306414,3.60E-05,2.01E-05,0.000123567,4.73E-05,0.000476138,0.000398814,3.10E-05,0,0.000152041,8.35E-06,0.000101279,0,1.88E-05,1.21E-05,2.21E-07,6.91E-06,4.090178761,0.294394327,3.795784434,8.55666553,23.1852674
916C,916C,Mesh,55.36927002,11.25587526,1.69E-05,1.71E-06,0,0.000206305,0.0004365,0.000373651,5.47E-05,0.000378235,0,0,7.50E-06,0,0,6.70E-08,0,0.00015889,0.000821075,6.96E-05,7.23E-07,0.000178523,6.40E-05,2.59E-05,6.96E-05,0.000567167,0.000338702,0.000893974,0.000125174,1.69E-05,5.79E-05,4.96E-05,0.000340035,0,7.24E-05,0.0002105,4.75E-07,5.19E-08,5.487871729,0.313759553,5.174112177,15.8215722,83.09745058
917A,917A,Mesh,45.9511217,8.319778497,6.33E-05,4.96E-05,4.08E-07,0.000578726,0.000316951,5.05E-05,0.000174151,3.46E-06,1.94E-05,0,9.19E-06,0,0,9.87E-06,0,0.000819014,0.000143022,0,5.35E-07,0.000575312,0.000611099,8.15E-05,0.00034267,2.17E-05,0.000267868,8.28E-05,0,1.80E-06,0.000183019,1.23E-06,2.68E-05,0,3.04E-05,4.08E-05,0,9.00E-05,4.840526964,0.284994575,4.555532389,17.89131293,49.79624293
917B,917B,Mesh,34.75733449,6.342482076,1.44E-07,2.96E-05,0,0.000386005,0.000116781,0,0,1.71E-05,0,0,2.54E-06,0,0,5.85E-08,0,0.000184363,0.00074878,2.40E-06,0,0.000659972,0.000109638,5.23E-05,0.000297174,2.06E-05,0.000497181,0.00020411,4.10E-05,0,8.31E-05,0,2.29E-05,0,0,0,0,0,4.751576182,0.320975071,4.430601111,10.74074412,41.16229913
917C,917C,Mesh,34.23959936,6.09723883,2.52E-06,0.000180956,5.14E-07,0.000669865,0.000241356,6.20E-05,2.68E-05,0,6.83E-06,0,1.21E-05,0,0,0.000146362,0,0.000128235,7.51E-06,0,0,0.000704289,0.00088066,3.36E-05,3.22E-05,5.88E-06,3.40E-05,1.40E-05,0,9.75E-08,6.73E-05,2.71E-07,0.000107464,0,2.85E-05,2.15E-05,0,9.33E-06,4.079572138,0.313084113,3.766488026,13.50157015,31.28111857
918A,918A,Mesh,36.19235719,6.813828483,7.52E-05,7.29E-07,0,0.00016988,0.000154366,0.000128503,4.78E-05,9.94E-05,5.26E-06,1.74E-07,3.39E-05,0,0,6.60E-08,0,9.40E-05,0.001185028,6.73E-05,1.84E-06,0.000150173,3.88E-05,2.03E-05,8.44E-05,5.04E-05,0.000301884,0.000296965,0.000244618,1.62E-06,0.000174431,6.09E-07,5.58E-05,0,5.61E-05,5.81E-05,0,2.17E-05,3.658965813,0.306672917,3.352292896,11.20163914,31.28500718
