scan,date,time,raw,calibrated
311,26/01/2023 , 16:40:00,265,18.5
312,26/01/2023 , 16:50:00,231,16.1
313,26/01/2023 , 17:00:00,144,10.1
314,26/01/2023 , 17:10:00,85,5.9
315,26/01/2023 , 17:20:00,81,5.7
316,26/01/2023 , 17:30:00,65,4.5
317,26/01/2023 , 17:40:00,61,4.3
318,26/01/2023 , 17:50:00,45,3.1
319,26/01/2023 , 18:00:00,22,1.5
320,26/01/2023 , 18:10:00,11,0.8
321,26/01/2023 , 18:20:00,3,0.2
322,26/01/2023 , 18:30:00,0,0
323,26/01/2023 , 18:40:00,0,0
324,26/01/2023 , 18:50:00,0,0
325,26/01/2023 , 19:00:00,0,0
326,26/01/2023 , 19:10:00,0,0
327,26/01/2023 , 19:20:00,0,0
328,26/01/2023 , 19:30:00,0,0
329,26/01/2023 , 19:40:00,0,0
330,26/01/2023 , 19:50:00,0,0
331,26/01/2023 , 20:00:00,0,0
332,26/01/2023 , 20:10:00,0,0
333,26/01/2023 , 20:20:00,0,0
334,26/01/2023 , 20:30:00,0,0
335,26/01/2023 , 20:40:00,0,0
336,26/01/2023 , 20:50:00,0,0
337,26/01/2023 , 21:00:00,0,0
338,26/01/2023 , 21:10:00,0,0
339,26/01/2023 , 21:20:00,0,0
340,26/01/2023 , 21:30:00,0,0
341,26/01/2023 , 21:40:00,0,0
342,26/01/2023 , 21:50:00,0,0
343,26/01/2023 , 22:00:00,0,0
344,26/01/2023 , 22:10:00,0,0
345,26/01/2023 , 22:20:00,0,0
346,26/01/2023 , 22:30:00,0,0
347,26/01/2023 , 22:40:00,0,0
348,26/01/2023 , 22:50:00,0,0
349,26/01/2023 , 23:00:00,0,0
350,26/01/2023 , 23:10:00,0,0
351,26/01/2023 , 23:20:00,0,0
352,26/01/2023 , 23:30:00,0,0
353,26/01/2023 , 23:40:00,0,0
354,26/01/2023 , 23:50:00,0,0
355,26/01/2023 , 24:00:00,0,0
356,27/01/2023 , 00:10:00,0,0
357,27/01/2023 , 00:20:00,0,0
358,27/01/2023 , 00:30:00,0,0
359,27/01/2023 , 00:40:00,0,0
360,27/01/2023 , 00:50:00,0,0
361,27/01/2023 , 01:00:00,0,0
362,27/01/2023 , 01:10:00,0,0
363,27/01/2023 , 01:20:00,0,0
364,27/01/2023 , 01:30:00,0,0
365,27/01/2023 , 01:40:00,0,0
366,27/01/2023 , 01:50:00,0,0
367,27/01/2023 , 02:00:00,0,0
368,27/01/2023 , 02:10:00,0,0
369,27/01/2023 , 02:20:00,0,0
370,27/01/2023 , 02:30:00,0,0
371,27/01/2023 , 02:40:00,0,0
372,27/01/2023 , 02:50:00,0,0
373,27/01/2023 , 03:00:00,0,0
374,27/01/2023 , 03:10:00,0,0
375,27/01/2023 , 03:20:00,0,0
376,27/01/2023 , 03:30:00,0,0
377,27/01/2023 , 03:40:00,0,0
378,27/01/2023 , 03:50:00,0,0
379,27/01/2023 , 04:00:00,0,0
380,27/01/2023 , 04:10:00,0,0
381,27/01/2023 , 04:20:00,0,0
382,27/01/2023 , 04:30:00,0,0
383,27/01/2023 , 04:40:00,0,0
384,27/01/2023 , 04:50:00,0,0
385,27/01/2023 , 05:00:00,0,0
386,27/01/2023 , 05:10:00,0,0
387,27/01/2023 , 05:20:00,0,0
388,27/01/2023 , 05:30:00,0,0
389,27/01/2023 , 05:40:00,0,0
390,27/01/2023 , 05:50:00,0,0
391,27/01/2023 , 06:00:00,0,0
392,27/01/2023 , 06:10:00,0,0
393,27/01/2023 , 06:20:00,0,0
394,27/01/2023 , 06:30:00,0,0
395,27/01/2023 , 06:40:00,0,0
396,27/01/2023 , 06:50:00,0,0
397,27/01/2023 , 07:00:00,0,0
398,27/01/2023 , 07:10:00,0,0
399,27/01/2023 , 07:20:00,10,0.7
400,27/01/2023 , 07:30:00,20,1.4
401,27/01/2023 , 07:40:00,48,3.4
402,27/01/2023 , 07:50:00,82,5.7
403,27/01/2023 , 08:00:00,101,7.1
404,27/01/2023 , 08:10:00,130,9.1
405,27/01/2023 , 08:20:00,170,11.9
406,27/01/2023 , 08:30:00,240,16.8
407,27/01/2023 , 08:40:00,328,22.9
408,27/01/2023 , 08:50:00,306,21.4
409,27/01/2023 , 09:00:00,290,20.3
410,27/01/2023 , 09:10:00,330,23.1
411,27/01/2023 , 09:20:00,385,26.9
412,27/01/2023 , 09:30:00,593,41.4
413,27/01/2023 , 09:40:00,659,46.1
414,27/01/2023 , 09:50:00,505,35.3
415,27/01/2023 , 10:00:00,660,46.1
416,27/01/2023 , 10:10:00,687,48
417,27/01/2023 , 10:20:00,804,56.2
418,27/01/2023 , 10:30:00,771,53.9
419,27/01/2023 , 10:40:00,812,56.7
420,27/01/2023 , 10:50:00,847,59.2
421,27/01/2023 , 11:00:00,857,59.9
422,27/01/2023 , 11:10:00,846,59.1
423,27/01/2023 , 11:20:00,925,64.6
424,27/01/2023 , 11:30:00,863,60.3
425,27/01/2023 , 11:40:00,980,68.5
426,27/01/2023 , 11:50:00,946,66.1
427,27/01/2023 , 12:00:00,929,64.9
428,27/01/2023 , 12:10:00,865,60.5
429,27/01/2023 , 12:20:00,1006,70.3
430,27/01/2023 , 12:30:00,1094,76.5
431,27/01/2023 , 12:40:00,1049,73.3
432,27/01/2023 , 12:50:00,1030,72
433,27/01/2023 , 13:00:00,1150,80.4
434,27/01/2023 , 13:10:00,1084,75.8
435,27/01/2023 , 13:20:00,1076,75.2
436,27/01/2023 , 13:30:00,1079,75.4
437,27/01/2023 , 13:40:00,890,62.2
438,27/01/2023 , 13:50:00,956,66.8
439,27/01/2023 , 14:00:00,1011,70.7
440,27/01/2023 , 14:10:00,1110,77.6
441,27/01/2023 , 14:20:00,1076,75.2
442,27/01/2023 , 14:30:00,1156,80.8
443,27/01/2023 , 14:40:00,1061,74.2
444,27/01/2023 , 14:50:00,1212,84.7
445,27/01/2023 , 15:00:00,1186,82.9
446,27/01/2023 , 15:10:00,817,57.1
447,27/01/2023 , 15:20:00,766,53.5
448,27/01/2023 , 15:30:00,930,65
449,27/01/2023 , 15:40:00,754,52.7
450,27/01/2023 , 15:50:00,764,53.4
451,27/01/2023 , 16:00:00,797,55.7
452,27/01/2023 , 16:10:00,751,52.5
453,27/01/2023 , 16:20:00,577,40.3
454,27/01/2023 , 16:30:00,573,40
455,27/01/2023 , 16:40:00,520,36.3
456,27/01/2023 , 16:50:00,447,31.2
457,27/01/2023 , 17:00:00,432,30.2
458,27/01/2023 , 17:10:00,365,25.5
459,27/01/2023 , 17:20:00,272,19
460,27/01/2023 , 17:30:00,184,12.9
461,27/01/2023 , 17:40:00,103,7.2
462,27/01/2023 , 17:50:00,75,5.2
463,27/01/2023 , 18:00:00,50,3.5
464,27/01/2023 , 18:10:00,22,1.5
465,27/01/2023 , 18:20:00,5,0.3
466,27/01/2023 , 18:30:00,0,0
467,27/01/2023 , 18:40:00,0,0
468,27/01/2023 , 18:50:00,0,0
469,27/01/2023 , 19:00:00,0,0
470,27/01/2023 , 19:10:00,0,0
471,27/01/2023 , 19:20:00,0,0
472,27/01/2023 , 19:30:00,0,0
473,27/01/2023 , 19:40:00,0,0
474,27/01/2023 , 19:50:00,0,0
475,27/01/2023 , 20:00:00,0,0
476,27/01/2023 , 20:10:00,0,0
477,27/01/2023 , 20:20:00,0,0
478,27/01/2023 , 20:30:00,0,0
479,27/01/2023 , 20:40:00,0,0
480,27/01/2023 , 20:50:00,0,0
481,27/01/2023 , 21:00:00,0,0
482,27/01/2023 , 21:10:00,0,0
483,27/01/2023 , 21:20:00,0,0
484,27/01/2023 , 21:30:00,0,0
485,27/01/2023 , 21:40:00,0,0
486,27/01/2023 , 21:50:00,0,0
487,27/01/2023 , 22:00:00,0,0
488,27/01/2023 , 22:10:00,0,0
489,27/01/2023 , 22:20:00,0,0
490,27/01/2023 , 22:30:00,0,0
491,27/01/2023 , 22:40:00,0,0
492,27/01/2023 , 22:50:00,0,0
493,27/01/2023 , 23:00:00,0,0
